as: [922, 0.010849484002306398]
but: [855, 0.010061072475023828]
this: [774, 0.009107918240547887]
for: [763, 0.008978477542038808]
movie: [758, 0.00891964086089832]
with: [677, 0.007966486626422378]
its: [636, 0.007484025841070357]
film: [623, 0.007331050470105082]
an: [567, 0.006672079641331592]
it's: [555, 0.006530871606594415]
be: [520, 0.0061190148386109835]
on: [471, 0.00554241536343418]
like: [439, 0.005165860604135042]
not: [436, 0.005130558595450748]
more: [416, 0.004895211870888787]
by: [415, 0.004883444534660689]
you: [398, 0.004683399818783022]
than: [382, 0.004495122439133453]
about: [370, 0.004353914404396276]
too: [365, 0.0042950777232557864]
have: [364, 0.004283310387027689]
one: [361, 0.004248008378343394]
are: [360, 0.0042362410421152965]
all: [352, 0.004142102352290512]
so: [346, 0.004071498334921923]
at: [339, 0.003989126981325237]
or: [330, 0.003883220955272355]
has: [330, 0.003883220955272355]
from: [324, 0.003812616937903767]
just: [290, 0.0034125275061484333]
i: [285, 0.003353690825007943]
his: [284, 0.003341923488779845]
if: [273, 0.0032124827902707664]
no: [267, 0.0031418787729021783]
much: [232, 0.0027300220049187468]
up: [222, 0.002612348642637766]
story: [220, 0.00258881397018157]
out: [220, 0.00258881397018157]
bad: [206, 0.0024240712629881975]
only: [205, 0.0024123039267600994]
into: [204, 0.0024005365905320013]
even: [202, 0.002377001918075805]
what: [188, 0.0022122592108824325]
who: [185, 0.002176957202198138]
time: [181, 0.0021298878572857463]
good: [179, 0.00210635318482955]
will: [175, 0.002059283839917158]
little: [173, 0.0020357491674609617]
can: [171, 0.002012214495004766]
some: [170, 0.002000447158776668]
been: [169, 0.0019886798225485698]
characters: [169, 0.0019886798225485698]
most: [162, 0.0019063084689518834]
comedy: [161, 0.0018945411327237853]
for the: [156, 0.20445609436435125]
when: [155, 0.001823937115355197]
doesn't: [153, 0.0018004024428990009]
never: [152, 0.0017886351066709028]
would: [148, 0.0017415657617585107]
as a: [144, 0.1561822125813449]
was: [143, 0.0016827290806180205]
enough: [140, 0.0016474270719337263]
on the: [139, 0.2951167728237792]
which: [137, 0.0016121250632494322]
there's: [137, 0.0016121250632494322]
he: [137, 0.0016121250632494322]
there: [132, 0.001553288382108942]
way: [132, 0.001553288382108942]
very: [130, 0.0015297537096527459]
really: [130, 0.0015297537096527459]
your: [129, 0.0015179863734246478]
any: [128, 0.00150621903719655]
make: [127, 0.0014944517009684518]
they: [123, 0.0014473823560560595]
nothing: [121, 0.0014238476835998636]
like a: [120, 0.2733485193621868]
plot: [120, 0.0014120803473717655]
their: [117, 0.0013767783386874712]
isn't: [116, 0.0013650110024593734]
should: [116, 0.0013650110024593734]
could: [115, 0.0013532436662312753]
with a: [115, 0.16986706056129985]
every: [114, 0.0013414763300031772]
for a: [113, 0.14809960681520315]
something: [113, 0.0013297089937750791]
director: [112, 0.001317941657546981]
made: [109, 0.001282639648862687]
we: [109, 0.001282639648862687]
through: [108, 0.001270872312634589]
long: [108, 0.001270872312634589]
makes: [108, 0.001270872312634589]
off: [107, 0.0012591049764064909]
action: [106, 0.0012473376401783928]
feels: [106, 0.0012473376401783928]
how: [106, 0.0012473376401783928]
may: [104, 0.0012238029677221968]
better: [103, 0.0012120356314940987]
funny: [102, 0.0012002682952660007]
movie is: [102, 0.1345646437994723]
script: [100, 0.0011767336228098045]
minutes: [99, 0.0011649662865817064]
another: [99, 0.0011649662865817064]
them: [98, 0.0011531989503536086]
movies: [97, 0.0011414316141255105]
get: [97, 0.0011414316141255105]
work: [97, 0.0011414316141255105]
while: [96, 0.0011296642778974124]
might: [96, 0.0011296642778974124]
own: [96, 0.0011296642778974124]
many: [96, 0.0011296642778974124]
new: [96, 0.0011296642778974124]
thing: [94, 0.0011061296054412162]
do: [94, 0.0011061296054412162]
other: [94, 0.0011061296054412162]
all the: [93, 0.26420454545454547]
film is: [92, 0.1476725521669342]
being: [89, 0.001047292924300726]
well: [89, 0.001047292924300726]
that's: [89, 0.001047292924300726]
but the: [89, 0.10409356725146199]
have been: [89, 0.2445054945054945]
one of: [89, 0.24653739612188366]
over: [86, 0.001011990915616432]
with the: [86, 0.12703101920236337]
seems: [85, 0.001000223579388334]
us: [85, 0.001000223579388334]
less: [85, 0.001000223579388334]
does: [85, 0.001000223579388334]
