with: [883, 0.010551598871946847]
as: [879, 0.010503800009559772]
film: [822, 0.009822666220543952]
but: [782, 0.0093446775966732]
an: [754, 0.009010085559963674]
its: [699, 0.008352851202141388]
for: [673, 0.0080421585966254]
this: [666, 0.00795851058744802]
it's: [564, 0.006739639596577601]
movie: [510, 0.006094354954352087]
you: [494, 0.005903159504803785]
on: [424, 0.00506667941302997]
be: [419, 0.005006930835046126]
by: [380, 0.0045408919267721426]
has: [379, 0.004528942211175374]
not: [367, 0.004385545624014149]
one: [366, 0.00437359590841738]
at: [366, 0.00437359590841738]
about: [363, 0.004337746761627073]
from: [349, 0.00417045074327231]
are: [348, 0.004158501027675541]
his: [344, 0.004110702165288466]
more: [311, 0.003716361550595096]
all: [289, 0.0034534678074661825]
than: [282, 0.0033698197982888005]
like: [281, 0.003357870082692032]
if: [264, 0.0031547249175469623]
have: [259, 0.0030949763395631182]
story: [256, 0.003059127192772812]
who: [247, 0.0029515797524018927]
most: [240, 0.0028679317432245112]
what: [225, 0.002688686009272979]
into: [213, 0.0025452894221117536]
so: [209, 0.0024974905597246787]
will: [199, 0.0023779934037569906]
good: [198, 0.002366043688160222]
comedy: [192, 0.002294345394579609]
or: [189, 0.0022584962477893026]
i: [181, 0.0021628985230151524]
funny: [181, 0.0021628985230151524]
even: [180, 0.0021509488074183836]
out: [178, 0.0021270493762248458]
their: [175, 0.0020912002294345396]
best: [166, 0.0019836527890636202]
can: [166, 0.0019836527890636202]
some: [164, 0.001959753357870083]
way: [164, 0.001959753357870083]
with a: [158, 0.17893544733861835]
time: [158, 0.0018880550642894698]
us: [156, 0.0018641556330959324]
much: [154, 0.0018402562019023947]
up: [154, 0.0018402562019023947]
one of: [153, 0.4180327868852459]
make: [151, 0.0018044070551120883]
love: [149, 0.0017805076239185507]
just: [148, 0.001768557908321782]
makes: [144, 0.0017207590459347066]
life: [144, 0.0017207590459347066]
characters: [144, 0.0017207590459347066]
may: [141, 0.0016849098991444003]
work: [139, 0.0016610104679508628]
performances: [138, 0.0016490607523540939]
it's a: [137, 0.2429078014184397]
your: [135, 0.0016132116055637875]
very: [135, 0.0016132116055637875]
little: [129, 0.0015415133119831748]
enough: [127, 0.0015176138807896373]
on the: [125, 0.294811320754717]
as a: [125, 0.1422070534698521]
while: [123, 0.001469815018402562]
her: [123, 0.001469815018402562]
for the: [123, 0.1827637444279346]
no: [120, 0.0014339658716122556]
still: [120, 0.0014339658716122556]
director: [119, 0.001422016156015487]
look: [119, 0.001422016156015487]
there: [118, 0.001410066440418718]
well: [117, 0.0013981167248219492]
both: [114, 0.0013622675780316429]
fun: [113, 0.0013503178624348741]
movies: [111, 0.0013264184312413365]
drama: [111, 0.0013264184312413365]
new: [110, 0.0013144687156445678]
never: [110, 0.0013144687156445678]
those: [109, 0.0013025190000477988]
films: [109, 0.0013025190000477988]
we: [108, 0.00129056928445103]
when: [107, 0.0012786195688542614]
great: [105, 0.0012547201376607237]
which: [104, 0.0012427704220639548]
with the: [103, 0.11664779161947905]
only: [103, 0.001230820706467186]
does: [100, 0.0011949715596768797]
at the: [99, 0.27049180327868855]
any: [99, 0.001183021844080111]
film is: [99, 0.12043795620437957]
he: [97, 0.0011591224128865733]
also: [97, 0.0011591224128865733]
but it: [97, 0.12404092071611253]
been: [97, 0.0011591224128865733]
two: [96, 0.0011471726972898046]
they: [96, 0.0011471726972898046]
performance: [96, 0.0011471726972898046]
see: [96, 0.0011471726972898046]
that's: [94, 0.001123273266096267]
too: [94, 0.001123273266096267]
through: [92, 0.0010993738349027293]
entertaining: [92, 0.0010993738349027293]
cast: [90, 0.0010754744037091918]
how: [90, 0.0010754744037091918]
though: [90, 0.0010754744037091918]
without: [89, 0.0010635246881124229]
own: [89, 0.0010635246881124229]
heart: [88, 0.0010515749725156542]
them: [88, 0.0010515749725156542]
people: [88, 0.0010515749725156542]
world: [88, 0.0010515749725156542]
many: [87, 0.0010396252569188852]
documentary: [86, 0.0010276755413221165]
something: [84, 0.0010037761101285788]
made: [84, 0.0010037761101285788]
first: [84, 0.0010037761101285788]
could: [84, 0.0010037761101285788]
ever: [82, 0.0009798766789350414]
about the: [82, 0.22589531680440772]
humor: [81, 0.0009679269633382726]
tale: [80, 0.0009559772477415037]
from the: [80, 0.22922636103151864]
as the: [79, 0.08987485779294653]
film that: [79, 0.09610705596107055]
human: [79, 0.0009440275321447349]
doesn't: [78, 0.0009320778165479662]
family: [78, 0.0009320778165479662]
often: [77, 0.0009201281009511974]
sense: [77, 0.0009201281009511974]
between: [77, 0.0009201281009511974]
big: [77, 0.0009201281009511974]
because: [76, 0.0009081783853544285]
being: [75, 0.0008962286697576598]
has a: [75, 0.19788918205804748]
our: [74, 0.000884278954160891]
would: [74, 0.000884278954160891]
film's: [74, 0.000884278954160891]
romantic: [73, 0.0008723292385641222]
real: [73, 0.0008723292385641222]
yet: [73, 0.0008723292385641222]
was: [73, 0.0008723292385641222]
thriller: [73, 0.0008723292385641222]
there's: [72, 0.0008603795229673533]
other: [72, 0.0008603795229673533]
such: [71, 0.0008484298073705846]
picture: [70, 0.0008364800917738158]
compelling: [70, 0.0008364800917738158]
american: [70, 0.0008364800917738158]
take: [69, 0.0008245303761770469]
worth: [69, 0.0008245303761770469]
de: [69, 0.0008245303761770469]
kind: [69, 0.0008245303761770469]
get: [68, 0.0008125806605802782]
character: [68, 0.0008125806605802782]
by the: [68, 0.17894736842105263]
but it's: [68, 0.08695652173913043]
really: [67, 0.0008006309449835094]
works: [67, 0.0008006309449835094]
